id,name,star,comment,class,coordinate,address
55,內湖運動公園,4.2,1,公園,"25.067763,121.573841",台北市內湖區舊宗路二段2號
56,BeeFit蜂運動古亭教室|運動教室|健身房|健身團課|健身一對一教練,4.9,14,健身室,"25.027983,121.5227768",台北市大安區羅斯福路二段35巷13號
57,Pulse Gym 建國店,4.6,335,健身室,"25.0504118,121.5360961",台北市中山區建國北路一段96號
58,陪你健身預約制運動空間,5.0,18,健身室,"25.0212387,121.5192452",台北市中正區水源路91號1樓
59,臺北體育館,4.3,2,體育館,"25.0513025,121.5520716",台北市松山區南京東路四段10號
60,BALANCE FITNESS運動空間,4.6,38,健身室,"25.0292653,121.5191848",台北市中正區福州街11-7號
61,Force Fitness 運動空間 - 中正店,4.6,141,健身俱樂部,"25.0299438,121.5183082",台北市中正區南昌路一段123號 2號樓之2
62,好時光女生運動樂園 The GTFP Ohana (大安),4.9,161,健身室,"25.0368504,121.5438413",台北市大安區復興南路一段249號4樓
63,W.T運動空間南門店,5.0,3,健身室,"25.0316586,121.5193834",台北市中正區羅斯福路一段61號4樓
64,World Gym世界健身俱樂部 台北大直店Sport,4.6,1,健身室,"25.0843794,121.55968",台北市中山區堤頂大道二段588號
65,Beyond Fitness Enhanced 信義安和店,4.9,393,健身室,"25.0301277,121.5522728",台北市大安區安和路二段81號B1
66,臺北市網球中心,4.2,1,健身室,"25.0675708,121.596956",台北市內湖區民權東路六段208號
67,森運動健身工作室Naturfitness,5.0,38,健身室,"25.0317389,121.559118",台北市信義區基隆路二段23號B1
68,運動學 FITOLOGY,4.7,140,健身俱樂部,"25.0006593,121.5542299",台北市文山區興隆路二段252號B 1
69,潤潤運動空間 Runi field,5.0,50,瑜伽練習室,"25.0367518,121.5577286","樓, No. 417之2號光復南路信義區台北市110"
70,虹約健康企業社 虹約健康專業核心運動訓練中心,4.9,19,普拉提中心,"25.027636,121.522293",台北市大安區羅斯福路二段41號6F-1
71,BMF動空間-MMA/體適能,5.0,30,拳擊館,"25.0370308,121.5692542",台北市信義區松仁路89號Crossfit Matrix內B2
72,仟翔體育用品 - VICTOR 羽球概念店 (Chian Shiang Sports - VICTOR Badminton Flagship Store),4.6,372,體育用品店,"25.0284958,121.5456208",台北市大安區復興南路二段151巷45號
73,訓強跆拳道舘/台北跆拳道/台北才藝課程/台北跆拳道推薦/台北中山區跆拳道/台北運動健身/台北孩童才藝推薦,4.9,42,跆拳道學校,"25.0504318,121.5408776",台北市中山區龍江路65巷8號
74,PFC肌力與體能訓練,5.0,9,健身室,"25.041203,121.554191",台北市大安區忠孝東路四段250號2號樓之4
75,忠駝擊劍運動訓練中心,4.6,8,綜合運動中心,"25.0348235,121.5595015",台北市信義區基隆路一段364巷22號
76,LEADERKids 兒童運動學校,0,0,健身室,"25.051228,121.5497826",台北市松山區南京東路四段2號
77,台北健身院,4.4,114,健身室,"25.0203475,121.5338217",台北市大安區新生南路三段58號B1樓
78,運筋骨(松山店)｜台北運動訓練｜體態平衡 徒手調理 骨盆按摩,5.0,33,綜合運動中心,"25.051089,121.567066",台北市松山區南京東路五段280之1號2樓
79,Core Space 健身房,4.7,145,健身室,"25.0318138,121.5438349",台北市大安區復興南路二段27號
80,breakpoint-創極運動股份有限公司(台北市分部),4.8,5,網球教練,"25.0301045,121.5491675",台北市大安區敦化南路二段77號７樓-4
81,超越健身工坊,4.9,80,健身室,"25.0381336,121.5539244",台北市大安區仁愛路四段341號2樓
82,台北健身院(八德店),4.4,145,健身室,"25.0498443,121.5754339",台北市松山區八德路四段656號
83,多加運動美體 Dorcas Fitness,5.0,53,健身室,"25.0535831,121.5398936",台北市中山區龍江路120巷9號
84,Force Fitness 健身運動空間-小巨蛋店,4.8,125,健身室,"25.0480269,121.554054",台北市松山區八德路三段120號
85,台北聯新運醫中心,4.8,55,綜合運動中心,"25.0382213,121.5472742",台北市大安區仁愛路四段79號3樓
86,Switch ON 妳的運動空間,4.9,219,健身室,"25.041791,121.579242",台北市信義區忠孝東路五段625號
87,Focus Training專注訓練運動空間,5.0,191,健身室,"25.0511615,121.5649583",台北市松山區南京東路五段208號2樓
88,維度運動 WeDo Sports,4.8,18,補習社,"24.6498294,121.2338514",wedosports.net
89,Purpose Space,5.0,29,健身室,"25.0411499,121.554327",台北市大安區忠孝東路四段250號3F之5
90,好時光女生運動樂園 The GTFP House (古亭),4.9,319,健身室,"25.027664,121.520242",台北市中正區南昌路二段53號1F
91,天王星體育用品,4.1,77,運動用品店,"25.0257555,121.5521564",台北市大安區樂利路87號
92,胖恐龍Sports 運動選品舖,5.0,5,健身室,"25.0382505,121.5808736",台北市信義區福德街84巷9號
93,我的樂活生活館 台北敦南會館,5.0,37,健身俱樂部,"25.0412474,121.5484784",台北市大安區敦化南路1段216號4樓
94,內湖運動中心攀岩館,4.4,129,主場,"25.0779565,121.5749343",台北市內湖區洲子街12號
95,Total Gym Taiwan(台北合作場地 全預約制),5.0,109,健身室,"25.0513946,121.555723",台北市松山區南京東路四段130號B1
96,JUST WELL脊姿維運動物理治療所｜脊椎側彎、疼痛處理、運動傷害、皮拉提斯、震波、超磁波、扁平足長短腳骨盆矯正、坐骨神經痛、椎間盤突出、關節退化肌少症｜Just Well Balance Body Center｜台北仁愛東門推薦復健物理治療所,4.9,458,健身室,"25.0376894,121.5288221",台北市中正區金山南路一段67巷10號1樓
97,世界健身俱樂部 台北大安店,3.9,781,健身室,"25.0329634,121.5453367",台北市大安區信義路四段6號3F
98,勁能健身俱樂部,4.5,208,健身室,"25.0500683,121.5709089",台北市松山區八德路四段465號2樓
99,臺北大巨蛋,4.4,666,綜合運動中心,"25.0424367,121.5595066",台北市信義區忠孝東路四段345號
100,World Gym世界健身俱樂部 台北統領店,4.7,2,健身室,"25.041721,121.551463",台北市大安區忠孝東路四段201號3F
101,Ready芮宜運動醫學中高齡肌力訓練中心(東門館) 中高齡健身房 銀髮族運動 肌力訓練 預防退化 強化體能,4.6,10,健身室,"25.0338325,121.527538",台北市大安區信義路二段104號8樓
102,臺北市松山運動中心游泳池,3.8,196,公眾泳池,"25.0495211,121.5505043",台北市松山區敦化北路1號
103,KLINE,4.8,18,健身室,"25.033409,121.531367",台北市大安區信義路二段222號8樓
104,JEX SPORTS,5.0,2,運動用品店,"25.0309321,121.558469",台北市大安區基隆路二段51號樓之3、106 4
105,Tricking Taiwan 台灣極限武術,5.0,2,健身室,"25.074204,121.520209",台北市大同區承德路三段287-2號
106,J&R兒童體能操運動學苑民生店,4.6,19,體操中心,"25.0560303,121.5547089",台北市松山區光復北路230巷15號1樓
107,Craftzy Sports Club 卡夫契運動俱樂部,5.0,134,運動協會,"25.082001,121.562265",台北市內湖區內湖路一段120巷21號1F
108,b-monster 新光三越信義A9-台北信義有氧拳擊體驗 運動教學課程 諮詢費用推薦 體態雕塑 增肌減脂瘦身 小班制 健身房 PTT Dcard,5.0,1,健身室,"25.0363104,121.5668588",台北市信義區松壽路9號
109,喬山健康科技台北逸仙店,4.8,20,運動用品店,"25.0409788,121.5627035",台北市信義區忠孝東路四段516號
110,萬華運動中心足球場,4.5,41,足球場,"25.0473256,121.5071428",台北市萬華區西寧南路6-1號
111,飛揚體育用品社大安店,4.3,139,運動用品店,"25.0202115,121.5474583",台北市大安區基隆路三段18號
112,長興極限空間,4.8,53,武術學校,"25.0589686,121.513476",台北市大同區重慶北路二段162號
113,國立臺北教育大學泳健館-恆動力,4.4,466,游泳池,"25.0222416,121.5441904",台北市大安區和平東路二段134號
114,衡享動作訓練空間,5.0,77,普拉提中心,"25.0309348,121.557591",台北市信義區光復南路563號3樓
115,"健癮學 信義區健身工作室 ｜大安區健身｜一對一留美教練｜免費諮詢｜體態雕塑｜飲食控管｜歐美師資｜Yoga 課程｜Trilingual instructor (English, Japanese, Chinese )",5.0,68,健身室,"25.0311088,121.5579758",台北市信義區Guangfu S Rd64號106 TW 台北市 大安區 台北市信義區嘉興街 7FNo. 567號
116,武甲總合武術運動館 古亭館,4.6,245,健身室,"25.0251183,121.5241787",台北市大安區羅斯福路二段93號
117,Curves可爾姿 和平科技店,4.9,154,健身室,"25.0250097,121.543831",台北市大安區和平東路二段257號3 樓
118,NIKE Outlet,3.6,543,運動用品店,"25.0197649,121.533699",台北市大安區新生南路三段66號
119,臺北小巨蛋冰上樂園,4.1,2,溜冰場,"25.0510986,121.5504786",台北市松山區南京東路四段2號2樓
120,健身魂 大安店,4.4,963,健身室,"25.0337006,121.5392338","台北市大安區信義路三段109號B1, No"
