id,name,star,comment,class,coordinate,address
85,臺北市內湖運動中心 Taipei Neihu Sports Center,4.0,884,綜合運動中心,"25.0781567,121.5747649",台北市內湖區洲子街12號
86,喬盛體育用品有限公司,4.0,122,運動用品店,"25.0282549,121.5631919",台北市信義區莊敬路310號
87,大發體育用品/合發登山運動用品社,3.7,31,運動用品店,"25.001946,121.5387569",台北市文山區羅斯福路五段224號
88,新北市永和國民運動中心,4.3,4,綜合運動中心,"25.0031513,121.5241966",新北市永和區永利路250號
89,臺北市大同運動中心,4.0,1,綜合運動中心,"25.065371,121.5161993",台北市大同區大龍街51號
90,"美普特超鵟羽球用品,（球拍，球袋，球鞋，球拍拉線）團體運動服飾，（有賣興南國小運動服）",5.0,11,運動服裝店,"24.9873951,121.5093808",新北市中和區興南路一段117巷12號
91,歐格運動用品,4.4,114,運動用品店,"25.0579331,121.5534271",台北市松山區民生東路四段90-92號1樓
92,唯羽生活 Only Batminton Life,5.0,125,羽毛球會,"25.1143055,121.5152628",台北市北投區西安街一段361號
93,DR.String線博士-永和球拍穿線,5.0,29,網球用品店,"25.0140014,121.5135205",新北市永和區文化路113巷23弄5號
94,Chanson 強生運動科技 台北旗艦店,3.9,24,運動用品店,"25.0510477,121.5371893",台北市中山區建國北路一段69號
95,新北市三重國民運動中心,4.0,1,綜合運動中心,"25.0546254,121.4878983",新北市三重區集美街55號
96,圓山中央羽球場,4.0,3,羽毛球場,"25.0823711,121.529458",台北市中山區
97,齊力體育用品社,5.0,22,體育用品店,"25.0696519,121.6139826",台北市內湖區東湖路43巷16-1號號1F
98,偉勁國際體育(網羽球用品),4.7,146,體育用品店,"25.0726416,121.4976259",新北市三重區龍門路105號
99,力行體育館,3.8,129,健身室,"25.0054454,121.5216334",新北市永和區永亨路80巷2號
100,政大體育用品,4.8,31,體育用品店,"24.9874741,121.575102",台北市文山區指南路二段64號
101,臺北市大安區和平實驗國民小學附屬籃球館暖身球場,4.6,143,籃球場,"25.0217101,121.546059",台北市大安區
102,鴻豐體育用品公司,4.3,3,運動用品店,"25.0499421,121.5833585",台北市南港區東新街10之8號1樓
103,汀沃克有限公司,4.4,5,運動用品店,"25.0359056,121.547862",台北市大安區東豐街66號3樓
104,我家羽球館,4.3,204,羽球館,"25.0034046,121.4506926",新北市板橋區大觀路二段1巷60-5號
105,大滿貫專業穿線 敦北門市 Grand Slam Stringing,4.8,86,運動用品店,"25.0495617,121.5525574",台北市松山區敦化北路3之177A號北寧路
106,捷利體育用品有限公司,4.2,594,戶外運動用品店,"25.0932297,121.5193337",台北市士林區中正路426號
107,臺北市體育總會,3.7,6,綜合運動中心,"25.0487102,121.55107",台北市松山區敦化北路3號168室
108,弘揚體育,4.4,122,運動用品店,"25.0158453,121.4566057",新北市板橋區中正路147號
109,羽雁體育羽球專賣-土城店,5.0,118,運動用品店,"24.9859504,121.4517174",新北市土城區裕民路146號2樓
110,松發登山體育用品店,4.1,57,運動用品店,"25.0000071,121.5560569",台北市文山區興隆路三段62號
111,立農公園羽球場,4.1,7,羽毛球場,"25.1187551,121.5040348",台北市北投區
112,健康羽球館,4.6,156,羽毛球場,"24.963355,121.440182",新北市土城區承天路71巷3號
113,臺灣師大體育館,4.4,418,體育館,"25.0258941,121.5265655",台北市大安區和平東路一段162號
114,職人治羽運動生活館,4.2,5,運動用品店,"25.012715,121.449605",新北市板橋區大觀路一段28巷119號之3
115,長弓體育用品,4.5,208,運動用品店,"25.0143675,121.5334565",台北市中正區汀州路三段205號
116,成德國中運動中心,4.2,345,綜合運動中心,"25.0446219,121.5878964",台北市南港區東新街108巷23號
117,飛揚體育用品社大安店,4.3,139,運動用品店,"25.0202115,121.5474583",台北市大安區基隆路三段18號
118,美津濃路跑旗艦店,3.9,281,運動用品店,"25.0475,121.5441667",台北市松山區復興南路一段1號
119,永春活力館,4.6,67,綜合運動中心,"25.041454,121.577122",台北市信義區松山路342巷13號1樓
120,台友運動事業有限公司,5.0,1,運動用品店,"25.0188565,121.5274104",台灣中正區汀州路三段49號
