id,name,star,comment,class,coordinate,address
77,(Not Open-整修中)新北市中和國民運動中心,4.2,3,綜合運動中心,"24.9925927,121.4870792",新北市中和區錦和路和城路一段350之2號入口：
78,福和橋下羽球場及桌球場,3.9,379,主場,"25.0067071,121.5292285",新北市永和區福和橋
79,新北市板橋國民運動中心,4.3,3,綜合運動中心,"25.022699,121.4577278",新北市板橋區智樂路6號
80,新北市身心障礙桌球協會,0,0,,"25.0276935,121.4630235",新北市板橋區互助街10號
81,北城體育用品有限公司,4.3,21,運動用品店,"24.988106,121.4303539",新北市板橋區溪北路154號
82,台灣產健股份有限公司,0,0,運動用品店,"25.0912516,121.460414",台灣新北市 蘆洲區長榮路698號1樓
83,林口國民運動中心,4.5,1,綜合運動中心,"25.0860421,121.3805613",新北市林口區文化二路二段299號
84,新樹國民運動中心-運動易利站EasyGym,4.9,88,健身室,"25.0204643,121.4335093",新北市新莊區新樹路222號7樓
85,新北市政府三重區龍濱市民活動中心,4.0,64,健身室,"25.0728648,121.5023237",新北市三重區秀江街28號
86,新友社體育用品有限公司,3.0,1,運動用品店,"25.0312643,121.4695496",新北市板橋區銘傳街76巷3號
87,新北市三重國民運動中心,4.0,1,健身室,"25.0546254,121.4878983",新北市三重區集美街55號
88,佳貝專心競技疊杯｜WSSA 競技疊杯樹林&三峽中心,5.0,1,運動用品店,"24.9500687,121.3847656",新北市樹林區桃子腳路94號
89,哈林樹林三門市,3.9,17,體育用品店,"24.9907658,121.4228138",新北市樹林區中山路一段112號1-2樓
90,將門體育用品,4.0,19,運動用品店,"25.0193667,121.42143",新北市新莊區龍安路258號
91,開封桌球館,4.7,27,乒乓球設施,"25.04612,121.5112114",台北市中正區博愛路36號B1樓
92,高強體育器材公司,3.0,2,運動用品店,"25.052336,121.453881",新北市新莊區昌平街41巷21號16樓
93,活力乒乓訓練中心,4.6,7,乒乓球設施,"25.0718972,121.5157303",台灣大同區酒泉街56號
94,媽媽桌球俱樂部 MaMa Pingpong 乒乓球教學練習 卓球Table tennisピンポン,4.6,85,乒乓球設施,"25.040683,121.529433",台北市中正區金山南路一段17 B1號
95,新北市五股國民運動中心,4.6,864,綜合運動中心,"25.0950459,121.4484258",新北市五股區成泰路三段296號
96,兒童桌球教學教室·乒乓島樂園,4.9,221,乒乓球設施,"25.0341088,121.5527308",台北市大安區安和路一段137號
97,南門桌球訓練中心,4.7,36,健身室,"25.0300203,121.5179764",台北市中正區南昌路一段114號號 b1
98,富益體育器材有限公司,2.5,4,體育用品店,"24.996724,121.4997552",新北市中和區圓通路93號
99,臺北市身障桌球協會(訓練場地),5.0,6,乒乓球設施,"25.0660098,121.5156575",台北市大同區昌吉街55 號二 樓蘭州 市場2 樓 217 室
100,國榮桌球 行天宮館,4.6,71,乒乓球設施,"25.0602099,121.5334756",台北市中山區松江路283號3樓
101,世運體育用品社,4.6,193,運動用品店,"25.071838,121.495014",新北市三重區三和路三段61號
102,走吧運動 新莊二館,4.8,371,健身室,"25.0345002,121.4469868",新北市新莊區中正路347巷10號B1
103,旋風乒乓桌球教室,5.0,30,乒乓球設施,"25.0838814,121.5928354",台北市內湖區內湖路二段466號464號
104,亞信乒乓,4.7,34,乒乓球設施,"25.0286352,121.538614",台北市大安區建國南路二段151巷16號
105,大魯閣棒壘球打擊場 新莊館,4.3,4,主場,"25.0317519,121.4321271",新北市新莊區中正路621號
106,伸運體育用品社,4.5,33,運動用品店,"25.0333039,121.4490898",新北市新莊區新莊路473號
107,新北市汐止國民運動中心,4.4,2,綜合運動中心,"25.0652677,121.6571068",新北市汐止區汐科路321號
108,仁愛乒乓球教室,4.7,89,乒乓球設施,"25.0337094,121.5503335",台北市大安區安和路一段112巷26號
109,Waypoint FITNESS 中和館,4.5,49,健身室,"25.0048925,121.5031762",新北市中和區中山路二段64巷9號2樓
110,DR.String線博士-永和球拍穿線,5.0,29,網球用品店,"25.0140014,121.5135205",新北市永和區文化路113巷23弄5號
111,北泰運動用品,4.6,250,運動用品店,"25.0090103,121.5143862",新北市永和區永和路一段184號
112,Let’s Play 善導寺店X乒乓世界 STIGA桌球用品專賣店,4.5,169,乒乓球用品店,"25.0404193,121.5259366",台北市中正區杭州南路一段63號63號。B1 B1
113,舞動陽光運動中心重慶館,4.0,313,綜合運動中心,"24.994954,121.462277",新北市板橋區和平路103號
114,DLIVE,4.0,35,運動服裝店,"25.082307,121.4805006",新北市蘆洲區集賢路393號4樓
115,板橋體育館,4.1,836,籃球場,"25.0133194,121.4568661",新北市板橋區中正路8號
116,土城綜合體育場(防災公園),4.3,1,健身室,"24.984884,121.4558363",新北市土城區裕民路裕民路193-1號
117,World Gym世界健身俱樂部 新北板橋重慶店Sport,4.9,1,健身室,"25.0004507,121.4636022",新北市板橋區重慶路247號B1
118,和興運動廣場,4.8,117,運動用品店,"25.010634,121.5204871",新北市永和區竹林路143號
119,力行體育館,3.8,129,健身室,"25.0054454,121.5216334",新北市永和區永亨路80巷2號
120,仁澤桌球學苑,5.0,13,乒乓球設施,"25.0448226,121.6173171",台北市南港區研究院路二段61巷15號冠德中研全聯福利中心B1
121,三蘆羽球館,4.4,249,主場,"25.0683365,121.4726908",新北市三重區中正北路560巷100弄17-1號
