id,name,star,comment,class,coordinate,address
84,土城綜合體育場(防災公園),4.3,1,健身室,"24.984884,121.4558363",新北市土城區裕民路裕民路193-1號
85,萬岳運動用品店 (總店),3.6,361,運動用品店,"25.0190961,121.4655968",新北市板橋區文化路一段152-156號
86,新北市蘆洲國民運動中心,4.3,2,綜合運動中心,"25.0911212,121.4620618",新北市蘆洲區長樂路235-1號
87,新太陽運動用品,3.8,246,運動用品店,"25.0404192,121.4466074",新北市新莊區和興街45號
88,台藝大籃球場,4.0,36,籃球場,"25.0044277,121.449598",新北市板橋區大觀路一段59號
89,新北市永和國民運動中心,4.3,4,綜合運動中心,"25.0031513,121.5241966",新北市永和區永利路250號
90,臺大排球場,4.5,107,排球場,"25.0193256,121.5365741",台北市大安區羅斯福路四段一號體育室
91,新北市土城國民運動中心,4.3,3,綜合運動中心,"24.9855894,121.4572112",新北市土城區金城路二段247-1號
92,ASICS亞瑟士(力得店),0,0,運動用品店,"24.9813127,121.5414311",新北市新店區北新路三段73號
93,新北市板橋第二運動場,4.2,2,體育館,"25.0137359,121.4582533",新北市板橋區民權路117號
94,浮洲運動公園,4.4,166,城市公園,"25.0146286,121.4487714",新北市板橋區僑中一街80巷
95,新北市泰山國民運動中心,4.3,2,綜合運動中心,"25.0559747,121.4345916",新北市泰山區全興路167號
96,新北市五股國民運動中心,4.6,864,綜合運動中心,"25.0950459,121.4484258",新北市五股區成泰路三段296號
97,山水體育用品社,4.2,128,體育用品店,"24.9677675,121.5406548",新北市新店區中華路16號一樓
98,林口國民運動中心,4.5,1,綜合運動中心,"25.0860421,121.3805613",新北市林口區文化二路二段299號
99,ASICS亞瑟士(曾業店),5.0,1,運動用品店,"25.177995,121.444222",新北市淡水區北新路9號
100,輔仁大學網球場,4.4,20,網球場,"25.0335421,121.4329307",新北市新莊區
101,微風網球場,4.1,16,網球場,"25.0943146,121.4581148",新北市蘆洲區
102,【Oii Design】客製口罩 |客製團體服 | 籃球服 | 棒球服 |足球服|車衣| POLO衫 |排球服|路跑服|,0,0,運動服製造商,"25.0705083,121.4789195",新北市三重區中正北路165巷250號
103,排球場,3.0,2,排球場,"25.227148,121.4480169",新北市淡水區淡金路四段499號
104,標竿運動用品社,3.9,37,運動用品店,"24.9633043,121.5146407",新北市新店區安忠路4號
105,三重綜合體育館,4.2,4,體育館,"25.0617771,121.4914951",新北市三重區新北大道一段2號
106,波動排球,4.1,22,主場,"25.0618868,121.4395808",新北市泰山區新五路一段106-12號
107,(Not Open-整修中)新北市中和國民運動中心,4.2,3,綜合運動中心,"24.9925927,121.4870792",新北市中和區錦和路和城路一段350之2號入口：
